angular_Second_Momentrg1,Contrastrg1,Correlationrg1,SoSVariancerg1,inverse_Diff_Momentrg1,sum_Averagerg1,sum_Variancerg1,sum_Entropyrg1,Entropyrg1,diff_Variancerg1,diff_Entropyrg1,info_M_Correlation_1rg1,info_M_Correlation_2rg1,angular_Second_Momentrg2,Contrastrg2,Correlationrg2,SoSVariancerg2,inverse_Diff_Momentrg2,sum_Averagerg2,sum_Variancerg2,sum_Entropyrg2,Entropyrg2,diff_Variancerg2,diff_Entropyrg2,info_M_Correlation_1rg2,info_M_Correlation_2rg2,angular_Second_Momentrg3,Contrastrg3,Correlationrg3,SoSVariancerg3,inverse_Diff_Momentrg3,sum_Averagerg3,sum_Variancerg3,sum_Entropyrg3,Entropyrg3,diff_Variancerg3,diff_Entropyrg3,info_M_Correlation_1rg3,info_M_Correlation_2rg3,angular_Second_Momentrg4,Contrastrg4,Correlationrg4,SoSVariancerg4,inverse_Diff_Momentrg4,sum_Averagerg4,sum_Variancerg4,sum_Entropyrg4,Entropyrg4,diff_Variancerg4,diff_Entropyrg4,info_M_Correlation_1rg4,info_M_Correlation_2rg4,angular_Second_Momentrg5,Contrastrg5,Correlationrg5,SoSVariancerg5,inverse_Diff_Momentrg5,sum_Averagerg5,sum_Variancerg5,sum_Entropyrg5,Entropyrg5,diff_Variancerg5,diff_Entropyrg5,info_M_Correlation_1rg5,info_M_Correlation_2rg5,angular_Second_Momentrg6,Contrastrg6,Correlationrg6,SoSVariancerg6,inverse_Diff_Momentrg6,sum_Averagerg6,sum_Variancerg6,sum_Entropyrg6,Entropyrg6,diff_Variancerg6,diff_Entropyrg6,info_M_Correlation_1rg6,info_M_Correlation_2rg6,ImageName
0.1,12583.175,20142135847.4458,1231098.8991,0.023815,2252.375,5072425.9067,2.3026,2.3026,6.6097e-05,2.2679,-1,0.99499,0.0066444,9765.2003,166328977360.5557,1218203.9196,0.023098,2202.5546,4844735.1736,4.6959,5.015,9.3484e-06,4.3117,-0.88143,0.99985,0.0026666,12825.0736,316359429163.2657,1244624.5588,0.018411,2219.3044,4927766.2604,5.414,5.9286,5.3562e-06,4.8903,-0.83995,0.99993,0.0022883,16965.4015,352432448430.4665,1249942.0629,0.016591,2212.9835,4903665.1828,5.5318,6.0813,4.8143e-06,4.9992,-0.8341,0.99993,0.0020387,24553.3327,385087398408.5266,1256232.5184,0.016351,2204.6501,4875284.7351,5.6469,6.197,4.5031e-06,5.0659,-0.82994,0.99994,0.0019398,26900.2042,404171872326.2925,1250449.3389,0.0159,2197.8837,4848792.3107,5.6935,6.2466,4.2807e-06,5.1114,-0.83261,0.99995,221.dcm
0.066667,5173.4667,25965190794.8199,1178864.8658,0.0082929,2192.2,4798595.1969,2.6849,2.7081,4.9166e-05,2.5925,-0.96527,0.99705,0.020408,7310.6684,72778519283.2724,1133002.8563,0.0058184,2145.4133,4595090.1959,3.7689,3.8918,1.8308e-05,3.5965,-0.94485,0.99961,0.017241,7585.4267,87448265485.3204,1122232.2922,0.0050823,2140.944,4575381.0862,3.914,4.0604,1.5414e-05,3.7669,-0.94949,0.99973,0.010638,23384.6117,131759674329.9985,1172881.797,0.0094754,2154.0426,4647830.7957,4.3838,4.5433,1.0197e-05,4.1869,-0.93205,0.99985,0.0077027,29154.4391,179404107493.7158,1179727.1243,0.010751,2155.9645,4665615.5189,4.6866,4.8669,7.6179e-06,4.4775,-0.92811,0.99991,0.00727,35285.6804,188924445400.2419,1182695.7699,0.010175,2150.2043,4650305.8674,4.7495,4.9247,7.2165e-06,4.5333,-0.92861,0.99992,230.dcm
0.1,12583.175,20142135847.4458,1231098.8991,0.023815,2252.375,5072425.9067,2.3026,2.3026,6.6097e-05,2.2679,-1,0.99499,0.0066444,9765.2003,166328977360.5557,1218203.9196,0.023098,2202.5546,4844735.1736,4.6959,5.015,9.3484e-06,4.3117,-0.88143,0.99985,0.0026666,12825.0736,316359429163.2657,1244624.5588,0.018411,2219.3044,4927766.2604,5.414,5.9286,5.3562e-06,4.8903,-0.83995,0.99993,0.0022883,16965.4015,352432448430.4665,1249942.0629,0.016591,2212.9835,4903665.1828,5.5318,6.0813,4.8143e-06,4.9992,-0.8341,0.99993,0.0020387,24553.3327,385087398408.5266,1256232.5184,0.016351,2204.6501,4875284.7351,5.6469,6.197,4.5031e-06,5.0659,-0.82994,0.99994,0.0019398,26900.2042,404171872326.2925,1250449.3389,0.0159,2197.8837,4848792.3107,5.6935,6.2466,4.2807e-06,5.1114,-0.83261,0.99995,270.dcm
0.25,14094.25,333379059.518,211773.496,0.03205,837.75,706276.4356,1.3863,1.3863,0.00052081,1.3863,-1,0.96825,0.125,9620.7188,624483553.5262,187521.4962,0.019948,816.9063,670189.0002,2.0794,2.0794,0.0002582,2.0794,-0.97917,0.99134,0.04,9978.42,1339145965.2271,144640.5967,0.0092943,714.68,520766.69,3.1634,3.2189,8.9713e-05,3.1357,-0.94647,0.9986,0.04,9978.42,1339145965.2271,144640.5967,0.0092943,714.68,520766.69,3.1634,3.2189,8.9713e-05,3.1357,-0.94647,0.9986,0.032258,10152.6048,1529098052.2318,131280.9646,0.0075984,675.5565,472029.7772,3.3893,3.434,7.3202e-05,3.3334,-0.94651,0.99911,0.030303,10636.6894,1582589705.3649,126728.9666,0.0071474,661.9015,456461.2684,3.444,3.4965,6.7939e-05,3.402,-0.9506,0.99922,291.dcm
0.33333,12553.5,718462133.9478,311795.665,0.0054546,1089.3333,1194265.8636,1.0986,1.0986,0.00041203,1.0986,-1,0.94281,0.33333,12553.5,718462133.9478,311795.665,0.0054546,1089.3333,1194265.8636,1.0986,1.0986,0.00041203,1.0986,-1,0.94281,0.090909,26910.4773,2869046343.7193,357855.9073,0.0029957,1131.1136,1298251.9158,2.3979,2.3979,0.00011638,2.3664,-1,0.99586,0.090909,26910.4773,2869046343.7193,357855.9073,0.0029957,1131.1136,1298251.9158,2.3979,2.3979,0.00011638,2.3664,-1,0.99586,0.039231,22242.0169,8315069511.5548,429813.6165,0.0020545,1244.9531,1581234.6564,3.2252,3.2385,5.1799e-05,3.1713,-1,0.99923,0.037749,22476.937,8478045784.864,422392.6248,0.0019817,1230.5595,1550079.5533,3.2641,3.277,5.0537e-05,3.199,-1,0.99929,297.dcm
1,92165,555585193.9992,611523.999,9.7465e-05,1361.5,1904841,-2.2204e-16,-2.2204e-16,0.00081566,-2.2204e-16,0,0,1,92165,555585193.9992,611523.999,9.7465e-05,1361.5,1904841,-2.2204e-16,-2.2204e-16,0.00081566,-2.2204e-16,0,0,0.064583,17016.5281,11451981833.8146,737882.5259,0.043179,1648.1135,2731085.4764,2.7172,2.7403,5.3869e-05,2.7172,-0.93402,0.99684,0.059028,16247.3542,12552483417.5963,748544.978,0.039596,1661.6146,2775508.5524,2.7906,2.8315,4.9114e-05,2.8098,-0.94073,0.99722,0.052778,19675.0597,13904379181.5211,730439.1739,0.035395,1641.2236,2713776.9077,2.9065,2.9431,4.4938e-05,2.9045,-0.94921,0.99789,0.050125,19003.0946,14994215791.3806,740899.4851,0.03362,1654.4668,2759334.1837,2.9597,2.9945,4.2514e-05,2.958,-0.95267,0.99814,306.dcm
1,28514.5,52370079.9989,45795.9995,8.3661e-05,480,256210.5,-2.2204e-16,-2.2204e-16,0.001087,-2.2204e-16,0,0,1,28514.5,52370079.9989,45795.9995,8.3661e-05,480,256210.5,-2.2204e-16,-2.2204e-16,0.001087,-2.2204e-16,0,0,1,28514.5,52370079.9989,45795.9995,8.3661e-05,480,256210.5,-2.2204e-16,-2.2204e-16,0.001087,-2.2204e-16,0,0,0.035671,7635.5488,333868923.3384,12776.3477,0.027659,211.4041,60363.4111,3.2901,3.3465,4.9024e-05,3.1442,-0.95595,0.999,0.035461,7555.9226,334524312.4113,12697.419,0.027533,209.7669,59737.8394,3.2976,3.3537,4.8503e-05,3.154,-0.95628,0.99901,0.035461,7555.9226,334524312.4113,12697.419,0.027533,209.7669,59737.8394,3.2976,3.3537,4.8503e-05,3.154,-0.95628,0.99901,310.dcm
0.5,171668,653364722.588,636012.4983,0.0048132,1217.5,1510213.1671,0.69315,0.69315,0.00051282,0.69315,-1,0.86603,0.5,171668,653364722.588,636012.4983,0.0048132,1217.5,1510213.1671,0.69315,0.69315,0.00051282,0.69315,-1,0.86603,0.33333,132593.8333,1228304020.5175,672840.3316,0.0032498,1326.6667,1807680.389,1.0986,1.0986,0.00034153,1.0986,-1,0.94281,0.066667,58117.1833,8474775854.7595,715732.4649,0.027335,1562.55,2486620.6658,2.6618,2.7081,6.9745e-05,2.6849,-0.96587,0.99732,0.0625,55686.5938,9022870254.6515,705874.7482,0.025632,1557.1875,2467989.2324,2.7293,2.7726,6.5186e-05,2.7509,-0.96875,0.99767,0.05,45634.675,12444900558.2377,746426.8982,0.020945,1618.35,2666377.5625,2.9611,2.9957,5.4186e-05,2.9437,-0.97686,0.99856,318.dcm
1,50251,200890399.4989,299208.9987,3.6188e-05,947.5,926545,-2.2204e-16,-2.2204e-16,0.0010905,-2.2204e-16,0,0,1,50251,200890399.4989,299208.9987,3.6188e-05,947.5,926545,-2.2204e-16,-2.2204e-16,0.0010905,-2.2204e-16,0,0,1,50251,200890399.4989,299208.9987,3.6188e-05,947.5,926545,-2.2204e-16,-2.2204e-16,0.0010905,-2.2204e-16,0,0,0.33333,35379.6667,573246427.2506,254971.6655,0.0001198,914,865062.6104,1.0986,1.0986,0.00036271,1.0986,-1,0.94281,0.33333,35379.6667,573246427.2506,254971.6655,0.0001198,914,865062.6104,1.0986,1.0986,0.00036271,1.0986,-1,0.94281,0.33333,35379.6667,573246427.2506,254971.6655,0.0001198,914,865062.6104,1.0986,1.0986,0.00036271,1.0986,-1,0.94281,325.dcm
1,84447.75,114290160.9987,214368.9984,3.9423e-05,782.75,676624.75,-2.2204e-16,-2.2204e-16,0.0012953,-2.2204e-16,0,0,1,84447.75,114290160.9987,214368.9984,3.9423e-05,782.75,676624.75,-2.2204e-16,-2.2204e-16,0.0012953,-2.2204e-16,0,0,1,84447.75,114290160.9987,214368.9984,3.9423e-05,782.75,676624.75,-2.2204e-16,-2.2204e-16,0.0012953,-2.2204e-16,0,0,1,84447.75,114290160.9987,214368.9984,3.9423e-05,782.75,676624.75,-2.2204e-16,-2.2204e-16,0.0012953,-2.2204e-16,0,0,1,84447.75,114290160.9987,214368.9984,3.9423e-05,782.75,676624.75,-2.2204e-16,-2.2204e-16,0.0012953,-2.2204e-16,0,0,0.33333,66730.1667,544915618.4864,249674.9983,3.6341e-05,966.3333,1003299.1223,1.0986,1.0986,0.00043066,1.0986,-1,0.94281,341.dcm
0.0408,7099.46,15641723107.5859,885654.5581,0.07297,1853.72,3431935.7537,3.0975,3.205,6.3323e-05,2.9345,-0.90653,0.99798,0.029844,8830.8603,22321933268.3339,882954.9981,0.058363,1843.9632,3397141.32,3.4129,3.5162,4.8735e-05,3.2006,-0.93785,0.99908,0.029844,8830.8603,22321933268.3339,882954.9981,0.058363,1843.9632,3397141.32,3.4129,3.5162,4.8735e-05,3.2006,-0.93785,0.99908,0.023526,21516.2616,27923948495.3747,849790.4632,0.047384,1782.7849,3196785.6914,3.6554,3.7531,3.6966e-05,3.4522,-0.95439,0.9995,0.022469,23456.0389,29087717820.0498,841727.7092,0.045393,1772.5722,3164048.9706,3.7055,3.799,3.492e-05,3.5037,-0.95694,0.99955,0.021503,23218.7287,30340066882.0731,832702.8066,0.043465,1766.5053,3142470.7502,3.7533,3.8428,3.2847e-05,3.5601,-0.95923,0.99959,345.dcm
0.5,65740.875,736220095.2375,407268.9985,0.00017473,1262.875,1655814.139,0.69315,0.69315,0.00054054,0.69315,-1,0.86603,0.5,65740.875,736220095.2375,407268.9985,0.00017473,1262.875,1655814.139,0.69315,0.69315,0.00054054,0.69315,-1,0.86603,0.5,65740.875,736220095.2375,407268.9985,0.00017473,1262.875,1655814.139,0.69315,0.69315,0.00054054,0.69315,-1,0.86603,0.33333,64006.0833,1080896614.8404,379812.6652,0.00014935,1249.0833,1617618.4403,1.0986,1.0986,0.00035997,1.0986,-1,0.94281,0.25,63263.125,1270895716.3033,351423.4986,0.00012171,1164.5,1430994.1172,1.3863,1.3863,0.00026968,1.3863,-1,0.96825,0.10101,60645.0076,3336051161.2954,393010.7713,0.00014977,1206.1843,1511451.36,2.2976,2.2976,0.00010826,2.2976,-1,0.99483,347.dcm
1,67214.25,274626465.7489,423800.9983,3.4527e-05,1128.75,1311275.25,-2.2204e-16,-2.2204e-16,0.0011325,-2.2204e-16,0,0,1,67214.25,274626465.7489,423800.9983,3.4527e-05,1128.75,1311275.25,-2.2204e-16,-2.2204e-16,0.0011325,-2.2204e-16,0,0,1,67214.25,274626465.7489,423800.9983,3.4527e-05,1128.75,1311275.25,-2.2204e-16,-2.2204e-16,0.0011325,-2.2204e-16,0,0,1,67214.25,274626465.7489,423800.9983,3.4527e-05,1128.75,1311275.25,-2.2204e-16,-2.2204e-16,0.0011325,-2.2204e-16,0,0,1,67214.25,274626465.7489,423800.9983,3.4527e-05,1128.75,1311275.25,-2.2204e-16,-2.2204e-16,0.0011325,-2.2204e-16,0,0,0.04212,43013.9334,11144129110.8862,641037.6134,0.010611,1467.7332,2215536.5245,3.1674,3.1674,5.2376e-05,3.0898,-0.98148,0.99897,352.dcm
1,228868.25,3853588183.9995,2676495.999,9.2552e-05,2921.75,8642816.25,-2.2204e-16,-2.2204e-16,0.00054585,-2.2204e-16,0,0,1,228868.25,3853588183.9995,2676495.999,9.2552e-05,2921.75,8642816.25,-2.2204e-16,-2.2204e-16,0.00054585,-2.2204e-16,0,0,0.5,183103.75,7993542714.5147,2766297.999,5.1713e-05,2973.75,8900790.7376,0.69315,0.69315,0.00027278,0.69315,-1,0.86603,0.5,183103.75,7993542714.5147,2766297.999,5.1713e-05,2973.75,8900790.7376,0.69315,0.69315,0.00027278,0.69315,-1,0.86603,0.5,183103.75,7993542714.5147,2766297.999,5.1713e-05,2973.75,8900790.7376,0.69315,0.69315,0.00027278,0.69315,-1,0.86603,0.5,183103.75,7993542714.5147,2766297.999,5.1713e-05,2973.75,8900790.7376,0.69315,0.69315,0.00027278,0.69315,-1,0.86603,360.dcm
0.083333,3068.1042,20061128407.0311,1394105.2484,0.011796,2332.3125,5432177.9627,2.456,2.4849,7.3506e-05,2.4271,-1,0.99652,0.05,5420.225,32640375336.0196,1357464.1984,0.0081997,2296.3,5267742.4134,2.9784,2.9957,4.6573e-05,2.9025,-1,0.99875,0.041667,7166.9583,38382990160.7901,1331257.0818,0.0068933,2268.8333,5145749.2975,3.1636,3.1781,4.0695e-05,3.0516,-1,0.99913,0.034483,8477.5,44923237690.4659,1295758.8261,0.0058567,2237,5006759.7498,3.3314,3.3673,3.3033e-05,3.2507,-0.99645,0.99939,0.033333,8649.825,46193203633.6026,1288343.3985,0.0056661,2228.725,4971331.7006,3.3665,3.4012,3.2193e-05,3.277,-0.9966,0.99943,0.026316,9450.0658,56735514143.7214,1228085.9459,0.0050172,2184.0526,4779415.4758,3.6102,3.6376,2.607e-05,3.4848,-0.99749,0.99965,365.dcm
