angular_Second_Momentorg1,Contrastorg1,Correlationorg1,SoSVarianceorg1,inverse_Diff_Momentorg1,sum_Averageorg1,sum_Varianceorg1,sum_Entropyorg1,Entropyorg1,diff_Varianceorg1,diff_Entropyorg1,info_M_Correlation_1org1,info_M_Correlation_2org1,ImageName
0.0035469,32356.7743,145138116918.5607,498618.3874,0.0050509,1273.4886,1916165.2126,5.5543,5.6418,5.4507e-006,5.1089,-0.96649,0.99999,10238.dcm
0.0063092,34895.7271,99614265427.9012,668270.4633,0.0047707,1559.4716,2579191.1341,4.981,5.0657,7.8725e-006,4.7633,-0.96488,0.99996,10243.dcm
0.0045134,31550.916,120549068641.4622,560667.9279,0.0051174,1375.8136,2126933.9581,5.3285,5.4011,6.3151e-006,4.9713,-0.96406,0.99998,10249.dcm
0.01008,12629.954,21139209820.0816,280316.9605,0.015524,919.6527,1066538.1067,4.5589,4.5974,1.6987e-005,4.2798,-0.97475,0.99992,10253.dcm
0.008039,8516.7132,28014701929.1272,311221.5122,0.02268,1046.258,1210985.0793,4.7262,4.8239,1.7923e-005,4.3609,-0.97613,0.99995,10256.dcm
0.010215,12996.6363,16709064478.519,254557.4091,0.019421,886.362,970826.7574,4.5486,4.5844,1.8103e-005,4.2885,-0.96866,0.99991,10261.dcm
0.0078641,8766.1334,18153521235.4363,227354.8591,0.022415,872.4353,864749.5632,4.7559,4.8458,2.0412e-005,4.3621,-0.97272,0.99995,10264.dcm
0.0071597,8729.0116,19458933900.0339,215729.7623,0.02177,855.6084,827885.1843,4.8453,4.9396,1.8852e-005,4.4309,-0.97457,0.99996,10267.dcm
0.0094165,12724.5152,22260801517.5906,294133.9842,0.014565,992.9512,1134532.5249,4.6234,4.6655,1.6269e-005,4.3548,-0.96875,0.99992,10269.dcm
0.0040346,16392.9359,59206805515.1057,505718.0558,0.025281,1313.7959,1972692.9102,5.2009,5.5193,1.5437e-005,4.5473,-0.89239,0.99993,1027.dcm
0.0089974,8587.1529,15635704220.8179,227851.604,0.023217,853.6749,846074.8643,4.6304,4.7113,2.3031e-005,4.2533,-0.97837,0.99994,10272.dcm
0.0094429,11812.0805,22746306398.303,291497.6562,0.015979,933.8202,1097426.7583,4.6145,4.663,1.6986e-005,4.2993,-0.96799,0.99992,10275.dcm
0.006034,41069.298,138765158798.8364,862578.1866,0.011033,1742.2841,3311588.8719,4.9751,5.1104,7.1384e-006,4.7685,-0.95234,0.99996,10279.dcm
0.0066784,41528.6186,127754726371.3745,911772.1401,0.0095302,1804.5176,3475465.6328,4.8637,5.0089,7.7064e-006,4.6917,-0.94773,0.99994,10285.dcm
0.005707,39581.8016,159470903604.6588,966696.4499,0.012481,1872.2503,3710070.2588,5.0037,5.1661,7.0893e-006,4.7672,-0.94222,0.99995,10291.dcm
0.0058588,39215.1009,156375943198.0594,922159.3666,0.011049,1799.5923,3530393.6716,5.0045,5.14,6.9926e-006,4.7733,-0.95378,0.99996,10298.dcm
0.0018399,10472.5107,135970960163.2071,622672.4608,0.027412,1506.5223,2433112.1635,5.8342,6.3047,9.7831e-006,4.855,-0.8547,0.99996,103.dcm
0.0028174,15944.3118,72012365278.2464,643258.5958,0.05745,1526.578,2513498.3917,5.3238,5.8896,1.5945e-005,4.5997,-0.8224,0.99987,10303.dcm
0.0027974,15349.648,89682091755.184,658081.9379,0.062527,1549.0139,2612116.7485,5.3394,5.9014,1.669e-005,4.4679,-0.82857,0.99988,10309.dcm
0.004974,21129.4236,68212858350.3195,479608.1873,0.017219,1278.8001,1856912.5918,5.1786,5.3094,1.0199e-005,4.7416,-0.94187,0.99996,1031.dcm
0.022277,16904.3806,8906428830.0221,271034.3083,0.012202,1002.4259,1070534.9266,3.7821,3.8054,3.5361e-005,3.6491,-0.98372,0.99971,10314.dcm
0.0035654,9503.4732,55948321451.3464,651038.9319,0.075717,1576.9418,2582203.1266,4.9935,5.6636,2.5499e-005,4.0614,-0.77307,0.99962,10318.dcm
0.0027312,15239.1894,69481327925.0631,597739.4404,0.056655,1453.7182,2337219.6774,5.3701,5.9202,1.5821e-005,4.6203,-0.82841,0.99989,10323.dcm
0.002407,17538.9056,110117259705.6663,621544.251,0.05547,1469.006,2473727.0872,5.5411,6.0491,1.4096e-005,4.6217,-0.8495,0.99994,10329.dcm
0.0032883,17671.2235,106713535108.7458,488021.8495,0.026786,1276.1068,1896285.3809,5.5483,5.7191,8.8191e-006,4.9005,-0.93452,0.99998,10332.dcm
0.0028969,14188.622,64797972870.8493,616861.2521,0.059832,1488.1853,2418058.8663,5.2843,5.8623,1.7254e-005,4.5388,-0.81651,0.99985,10339.dcm
0.017877,16950.4359,13514287055.3939,298915.1952,0.0098009,1054.7242,1188498.7264,3.9873,4.0248,2.6134e-005,3.8418,-0.98453,0.9998,10343.dcm
0.0024528,15304.0212,79558213752.5374,562053.7501,0.05271,1376.7549,2203697.9486,5.5118,6.0263,1.4678e-005,4.6774,-0.84553,0.99993,10347.dcm
0.0039472,17767.1454,60095617543.1728,501004.2781,0.024789,1298.133,1939588.6816,5.2266,5.5411,1.4962e-005,4.5763,-0.894,0.99994,1035.dcm
0.0051692,14383.7396,63793035936.2783,533113.3585,0.03568,1355.8435,2063930.7181,5.0986,5.2667,1.3676e-005,4.5424,-0.92505,0.99994,10353.dcm
0.0021006,18974.175,148257311985.0306,665999.2869,0.052513,1494.0701,2612312.5161,5.7031,6.183,1.2304e-005,4.7172,-0.86595,0.99996,10356.dcm
0.020126,325448.8045,164217591741.8875,1255734.5923,0.008449,1652.3317,4452843.4406,3.8997,3.9064,6.6131e-006,3.85,-0.99282,0.99978,10387.dcm
0.023843,352997.2685,162092537694.0717,1461628.7185,0.0090241,1851.0999,5133410.6411,3.7291,3.737,7.9757e-006,3.6696,-0.99115,0.9997,10389.dcm
0.021019,25190.2058,12160290118.9149,342102.8317,0.014294,1020.3447,1250485.8414,3.8343,3.8642,2.6077e-005,3.8139,-0.99065,0.99975,1039.dcm
0.018392,319149.5624,171057793211.7416,1185734.3619,0.0078223,1609.5027,4229572.2296,3.9911,3.997,6.004e-006,3.945,-0.99358,0.99981,10391.dcm
0.015953,285277.6075,167165830281.6505,1007201.2398,0.012425,1422.034,3605968.2879,4.122,4.1386,5.4434e-006,4.0504,-0.99191,0.99986,10394.dcm
0.0079078,29571.1865,52562162792.2392,477858.5698,0.019995,1185.8763,1786934.6206,4.78,4.8401,1.141e-005,4.5159,-0.97482,0.99995,10398.dcm
0.0028633,22093.7806,102018997815.1757,787925.6087,0.059239,1667.3742,3086275.8243,5.3401,5.8716,1.4254e-005,4.5794,-0.82747,0.99988,10409.dcm
0.0046344,21029.0092,66507538724.6322,436143.5984,0.017453,1195.8303,1683158.8028,5.2509,5.3798,1.0072e-005,4.7703,-0.94262,0.99997,1042.dcm
0.0034915,17370.6022,79403277477.4716,862626.2379,0.070259,1796.9869,3367843.4493,5.0616,5.6762,1.9464e-005,4.2861,-0.79048,0.99971,10422.dcm
0.011097,24676.5205,36652687407.2538,497219.8241,0.025694,1228.1044,1902485.411,4.4481,4.5018,1.5842e-005,4.2212,-0.96802,0.9999,10431.dcm
0.0091341,24341.388,40012683656.9784,429583.7147,0.02869,1065.6356,1634090.9994,4.6324,4.6958,1.5281e-005,4.2898,-0.97233,0.99993,10438.dcm
0.0025243,22216.2707,111902654181.5818,704192.849,0.056188,1526.2583,2756049.6245,5.5169,5.9959,1.2703e-005,4.6792,-0.84495,0.99992,10448.dcm
0.03469,238890.7683,51881860277.696,1197169.5123,0.010471,1652.6088,4118600.8114,3.3535,3.3643,1.8533e-005,3.3426,-0.97818,0.99929,1045.dcm
0.0029849,21110.7241,91959543331.354,775582.9869,0.062213,1669.0716,3039061.9674,5.2904,5.8306,1.5418e-005,4.5264,-0.82166,0.99985,10460.dcm
0.01134,27574.8281,36876177955.9516,530150.3943,0.024407,1281.9281,1996323.8551,4.4209,4.4798,1.5182e-005,4.2524,-0.96606,0.99989,10469.dcm
0.028941,30829.1477,9990546988.5347,395699.1467,0.018018,1107.5852,1411573.1218,3.5352,3.5454,3.5767e-005,3.5074,-0.99153,0.99955,1047.dcm
0.0017271,11252.1307,234563574119.0353,575641.417,0.020759,1449.711,2264462.8057,6.0432,6.3616,7.2416e-006,4.995,-0.9046,0.99999,10480.dcm
0.001475,11068.5718,280244465434.5589,555317.2143,0.018284,1399.5643,2164900.4515,6.206,6.52,6.8657e-006,5.0315,-0.90417,0.99999,10491.dcm
0.005042,13512.9018,47793574697.0377,562410.7258,0.030309,1414.9988,2189369.9498,4.9364,5.298,1.977e-005,4.3056,-0.87191,0.99987,1050.dcm
0.0017868,9765.8452,219196149484.084,576178.849,0.020501,1430.9187,2239161.4457,6.0255,6.328,7.9543e-006,4.9118,-0.90256,0.99999,10508.dcm
0.0013822,8869.0063,287804714205.0792,504489.5445,0.02,1293.0061,1954280.9527,6.2847,6.5854,7.4883e-006,4.95,-0.91023,0.99999,10515.dcm
0.0010828,7183.6714,72995071990.3422,795003.8752,0.037522,1736.9221,3130728.7655,5.3416,6.912,2.3164e-005,4.0419,-0.56538,0.99789,10535.dcm
0.0070643,17269.8427,45858649283.4895,516692.7718,0.021219,1334.8105,1966223.9444,4.8251,4.9599,1.4722e-005,4.4269,-0.93495,0.99992,1054.dcm
0.0010074,9022.4625,79054358240.6013,763060.8403,0.036003,1686.2783,3021096.0522,5.472,6.9818,2.1561e-005,4.1305,-0.59312,0.99863,10559.dcm
0.03429,193879.7082,49335365045.3237,1078604.5592,0.014613,1521.9071,3906133.405,3.3624,3.3744,1.8171e-005,3.3516,-0.97881,0.99927,1057.dcm
0.02277,51885.7674,22323244948.4876,471130.5579,0.0056337,1185.0296,1780923.1243,3.7748,3.7833,2.0165e-005,3.7203,-0.98596,0.9997,10571.dcm
0.0012147,10393.8036,73967143818.334,593096.7691,0.055498,1440.0546,2325367.4935,5.7316,6.765,1.9159e-005,4.551,-0.7256,0.99978,10579.dcm
0.018534,43829.4846,8841572138.0764,216352.0599,0.0058567,768.4539,780808.8387,3.9632,3.9886,2.4819e-005,3.8482,-0.99197,0.99981,1060.dcm
0.02344,49429.6275,21451564498.3685,475583.6261,0.0060427,1170.7215,1773826.8052,3.7457,3.7544,2.1255e-005,3.674,-0.98535,0.99968,10600.dcm
0.0014282,9449.187,62514798987.6508,654251.1255,0.062041,1556.5885,2565982.9414,5.4748,6.6086,2.2636e-005,4.3844,-0.68349,0.99949,10608.dcm
0.023566,36725.6401,11468898654.394,202109.9319,0.011378,697.0517,745291.9977,3.7239,3.7487,1.6506e-005,3.659,-0.98241,0.99966,1062.dcm
0.052269,27415.7282,1479916038.3587,139693.5468,0.021346,618.766,511995.999,2.9545,2.9545,8.158e-005,2.918,-0.97511,0.99829,10634.dcm
0.0010382,10824.9957,105488011116.1728,619314.486,0.053626,1440.9398,2421867.4152,5.9619,6.9172,1.6517e-005,4.6405,-0.75389,0.99989,10635.dcm
0.049043,97040.5096,7071029456.6922,409010.2347,0.017328,993.4306,1366105.9808,3.0177,3.0177,4.5428e-005,3.002,-0.98871,0.9987,10643.dcm
0.018278,5727.1987,1095508783.3218,55064.8973,0.016532,397.2756,201578.5554,3.9519,4.0024,5.8521e-005,3.7362,-0.9759,0.99977,10646.dcm
0.015272,6191.5306,1418707493.5574,57476.5926,0.01355,414.3069,212240.3325,4.1131,4.1819,4.763e-005,3.8977,-0.97287,0.99983,10649.dcm
0.030634,8750.3207,1377784143.9572,84019.7235,0.024596,491.2503,293869.8817,3.4544,3.4872,5.6744e-005,3.3831,-0.98186,0.99943,1065.dcm
0.022883,6729.1705,1148823220.478,72228.4511,0.014891,489.2297,268867.318,3.7301,3.7779,6.6571e-005,3.6025,-0.97655,0.99965,10652.dcm
0.014631,9137.5738,4283160511.8711,110693.2174,0.020126,580.1078,418284.3955,4.1748,4.2257,3.0826e-005,3.9941,-0.98299,0.99986,10655.dcm
0.018962,9309.0162,2840704621.5855,109239.0859,0.018046,575.4054,386734.0325,3.9125,3.9654,4.2657e-005,3.7459,-0.98496,0.99978,10658.dcm
0.014987,8973.2726,4254265167.1289,112371.6957,0.021037,580.6498,423261.5328,4.1384,4.2008,3.3473e-005,3.931,-0.9826,0.99986,10659.dcm
0.01255,9353.7038,4639050221.4016,102587.8723,0.01802,549.9396,383167.9389,4.3308,4.3785,2.8318e-005,4.0815,-0.98187,0.9999,10662.dcm
0.012018,45464.9658,33426077385.8176,395748.4678,0.0083227,1044.6693,1496671.9104,4.4053,4.4216,1.3266e-005,4.2774,-0.99623,0.99992,10664.dcm
0.016212,51283.0345,30042222232.763,491774.1197,0.008255,1232.3409,1852481.7724,4.1007,4.1226,1.6482e-005,4.05,-0.99455,0.99986,10666.dcm
0.015769,51326.8963,30278904076.5699,488171.8259,0.0078718,1214.6676,1811867.8745,4.1292,4.1504,1.6089e-005,4.0742,-0.99473,0.99987,10668.dcm
0.010761,48656.227,37375095981.6093,392054.0113,0.0079411,1049.6222,1482686.1353,4.5139,4.5322,1.1455e-005,4.3901,-0.99339,0.99994,10669.dcm
0.015325,1951.9673,229358392.9848,17973.3952,0.026854,223.6193,65424.39,4.0669,4.1802,0.00010132,3.6937,-0.93035,0.99967,1067.dcm
0.021644,58442.6735,21736648572.8895,425337.7457,0.005407,1109.5624,1610685.5947,3.819,3.8335,2.0372e-005,3.7487,-1,0.99977,10672.dcm
0.026397,65935.2665,22381580024.0507,549751.4128,0.00153,1352.4774,2044946.9245,3.6276,3.636,2.4845e-005,3.5618,-1,0.99965,10674.dcm
0.027442,58801.1742,16377767911.9411,409884.0102,0.0059444,1066.7447,1554531.6616,3.578,3.5965,2.5866e-005,3.5173,-1,0.99962,10675.dcm
0.013943,55076.8223,28503403163.3467,365868.1408,0.0060788,1008.2759,1349779.6781,4.2391,4.273,1.3302e-005,4.1556,-0.99547,0.9999,10678.dcm
0.011669,25832.9269,14586406896.2614,201743.5192,0.015765,694.3028,773505.71,4.4183,4.4511,1.6568e-005,4.2296,-0.98533,0.99991,10680.dcm
0.032938,5223.7355,2345113768.134,125057.6247,0.016125,726.9341,569041.4188,3.4035,3.4154,8.1214e-005,3.184,-0.99016,0.99942,10682.dcm
0.023698,28280.4002,10299886753.5159,301610.8543,0.015969,923.1505,1126032.3618,3.7257,3.743,3.1037e-005,3.6309,-0.99122,0.9997,10684.dcm
0.04075,2160.5496,601427253.5319,63891.3432,0.029869,520.8384,286599.0775,3.1833,3.2112,0.00014906,2.9391,-0.957,0.99874,10686.dcm
0.01703,30736.1821,12705327205.216,267006.2029,0.011602,848.1579,996950.8705,4.0489,4.073,2.2153e-005,3.9427,-0.98974,0.99983,10688.dcm
0.023566,28144.8081,11148715731.5585,316969.4412,0.012211,951.966,1196755.1378,3.7322,3.7487,2.9245e-005,3.6632,-0.99126,0.9997,10690.dcm
0.0072891,99289.6172,127670948510.167,969599.3339,0.010766,1790.9975,3688457.8555,4.8314,4.9227,7.3546e-006,4.6476,-0.94422,0.99993,10694.dcm
0.0083248,91637.0979,118405694472.6112,1018043.7466,0.012399,1831.468,3814406.6502,4.7101,4.7904,8.5681e-006,4.5056,-0.94731,0.99991,10699.dcm
0.011337,36018.0393,30618322677.6425,462112.2504,0.022081,1114.3358,1749713.4499,4.4223,4.4817,1.938e-005,4.075,-0.95419,0.99986,1070.dcm
0.0069589,98055.1171,129337632547.8728,933769.972,0.010538,1734.6191,3540878.8034,4.8792,4.969,7.0153e-006,4.6924,-0.94655,0.99993,10704.dcm
0.0077244,84848.5953,121000250421.38,959238.7307,0.011938,1760.8658,3650170.9465,4.7757,4.8647,8.0208e-006,4.5701,-0.94641,0.99992,10710.dcm
0.035211,15957.6527,1015794031.0774,87722.0994,0.013362,418.8895,283985.0248,3.3358,3.3482,7.8859e-005,3.1948,-0.97768,0.99923,10713.dcm
0.0059631,60488.7442,159921597787.8325,874699.4123,0.012088,1710.322,3368713.5388,5.0297,5.1223,6.5118e-006,4.8191,-0.96802,0.99997,10716.dcm
0.0076688,59206.2486,123781188974.4719,920297.636,0.011371,1756.9845,3496608.1778,4.7898,4.871,8.2982e-006,4.602,-0.96858,0.99995,10720.dcm
0.024001,44356.6781,8311900886.5884,251093.2423,0.0051048,800.7573,925886.7822,3.722,3.7307,2.8299e-005,3.6822,-0.99545,0.9997,10724.dcm
0.008821,51055.7067,114055428311.2431,977258.5573,0.017105,1868.5426,3776148.622,4.6347,4.7312,9.405e-006,4.4792,-0.96437,0.99993,10726.dcm
0.0061186,54690.7449,144414218257.1348,783409.2497,0.015126,1572.1252,3011076.0956,5.0186,5.0966,6.2938e-006,4.7924,-0.96593,0.99996,10729.dcm
0.004465,44401.6427,158842402488.3103,906972.5956,0.020409,1757.0469,3511795.1508,5.1692,5.4136,7.0028e-006,4.8286,-0.92612,0.99996,10734.dcm
0.0046512,44547.637,154083805669.6068,933055.6849,0.022265,1794.1009,3608870.203,5.122,5.3728,7.2147e-006,4.7971,-0.92326,0.99995,10738.dcm
0.01711,26701.7782,24842729297.9595,512101.0906,0.013983,1251.3691,1849938.6004,4.0392,4.0686,2.1057e-005,3.9176,-0.98233,0.99982,1074.dcm
